number,counts
2,416
3,407
4,416
5,430
6,396
7,442
8,363
9,417
10,405
11,391
12,438
13,417
14,418
15,356
16,433
17,405
18,379
19,403
20,376
21,397
22,449
23,405
24,439
25,419
26,385
27,395
28,411
29,411
30,383
31,390
32,385
33,415
34,401
35,381
36,395
37,382
38,430
39,369
40,392
41,402
42,404
